label,subject,body
jobs,Thank you for your application to Figma,"
Hi Emily,

Thank you for your interest in Figma! We wanted to let you know we received your application for Software Engineer, New Grad (2022), and we are delighted that you would consider joining our team.

While we’re not able to respond to every applicant, our recruiting team will contact you if your skills and experience are a strong match for the role. If you are not selected for this position, keep an eye on our jobs page as we're growing and adding openings.

Best,

The Figma Team"
jobs,"Thank you for applying to Daiichi Sankyo, Inc.","  

  Thank you, your application has been submitted.  We appreciate your interest in Daiichi Sankyo, Inc.   You will be contacted if you are selected to move forward in the interview process.  Please visit http://careers.dsi.com/ for additional information about our company.
 
Sincerely,
Human Resources
"
jobs,Complete your Canvas profile for your Figma application,"Hi Emily,

We're so thrilled you're interested in a 2022 university role at Figma! In our efforts to create a more equitable future, we've partnered with Canvas where you can complete your application by creating a profile. You'll also be able to view/RSVP for our university events and learn more about us on our company page!

We appreciate you taking this extra step and we look forward to working with you!

Best,

Figma University Recruiting

[Complete my profile](https://www.canvas.com/app/jobs/3eaf1374-e4a4-47b7-9be9-dba0fb34daaa/apply?ref=email&utm_source=Figma&utm_medium=email&utm_campaign=ats_invite_from_organization&utm_content=ctabutton&email=fangemily60%40gmail.com&account_exists=true&ats_account_link_token=2SkG608do9a9vI31yqTOYDCrHYfkGJxV&student_full_name=Emily+Fang&banner_image_url=https%3A%2F%2Fjumpstart-static.s3.amazonaws.com%2Fbackend%2Forganizations%2Forganization%2FoTuBnESCSqe_09XL9Dm54g.png&logo_url=https%3A%2F%2Fjumpstart-static.s3.amazonaws.com%2Fbackend%2F__sized__%2Forganizations%2Forganization%2FKPR5kGptR2GRTZ76ekhCcA-thumbnail-200x200.png&organization_id=figma&organization_name=Figma&role_id=3eaf1374-e4a4-47b7-9be9-dba0fb34daaa&role_type=JOB&role_title=Software+Engineer%2C+New+Grad+%282022%29)

You are receiving email notifications from Canvas. [Unsubscribe.](https://manage.kmail-lists.com/subscriptions/unsubscribe?a=Ubirqj&c=01ESA936RQ6G1E4N45F48SB878&k=41a336fd89d050ad3e9514ff36d87a13&m=WmpG4z&r=5SrhTJs) If you need assistance or have questions, please ask us at [info@canvas.com](mailto:info@canvas.com)
 
© 2021 Canvas, 2450 Colorado Ave. Suite 100E Santa Monica, CA 90404.

‌
"
jobs,Reminder - Complete your Canvas profile for your Figma application,"Hi Emily,

We're so thrilled you're interested in a 2022 university role at Figma! In our efforts to create a more equitable future, we've partnered with Canvas where you can complete your application by creating a profile. You'll also be able to view/RSVP for our university events and learn more about us on our company page!

We appreciate you taking this extra step and we look forward to working with you!

Best,

Figma University Recruiting

[Complete my profile](https://www.canvas.com/app/jobs/3eaf1374-e4a4-47b7-9be9-dba0fb34daaa/apply?ref=email&utm_source=Figma&utm_medium=email&utm_campaign=ats_invite_from_organization&utm_content=ctabutton&email=fangemily60%40gmail.com&account_exists=true&ats_account_link_token=2SkG608do9a9vI31yqTOYDCrHYfkGJxV&student_full_name=Emily+Fang&banner_image_url=https%3A%2F%2Fjumpstart-static.s3.amazonaws.com%2Fbackend%2Forganizations%2Forganization%2FoTuBnESCSqe_09XL9Dm54g.png&logo_url=https%3A%2F%2Fjumpstart-static.s3.amazonaws.com%2Fbackend%2F__sized__%2Forganizations%2Forganization%2FKPR5kGptR2GRTZ76ekhCcA-thumbnail-200x200.png&organization_id=figma&organization_name=Figma&role_id=3eaf1374-e4a4-47b7-9be9-dba0fb34daaa&role_type=JOB&role_title=Software+Engineer%2C+New+Grad+%282022%29)

You are receiving email notifications from Canvas. [Unsubscribe.](https://manage.kmail-lists.com/subscriptions/unsubscribe?a=Ubirqj&c=01ESA936RQ6G1E4N45F48SB878&k=41a336fd89d050ad3e9514ff36d87a13&m=WmpG4z&r=5StfLVw) If you need assistance or have questions, please ask us at [info@canvas.com](mailto:info@canvas.com)
 
© 2021 Canvas, 2450 Colorado Ave. Suite 100E Santa Monica, CA 90404.

‌
"
jobs,Thank you for your interest Rockleigh - 22 Link,"Dear Emily, 

Thank you very much for your interest in Software &amp; Firmware Engineering position at Crestron Electronics Inc. Your submission will be reviewed by our Talent Acquisition Team and you will be contacted should we feel that your background meets our requirements for this role.
In the meantime, please fill out our online application https://tracking.icims.com/f/a/Khv5wts9tM1bp7Vx9QOxrA~~/AAIB5gA~/RgRjBDaBP0RYaHR0cHM6Ly9jcmVzdHJvbi5pY2ltcy5jb20vZm9ybXM_Zm9ybT1DcmVzdHJvbl9FbXBsb3ltZW50X0FwcGxpY2F0aW9uX0N1c3RvbSZpdGVtPTE2MTc1MVcDc3BjQgphH4GxIWGyfennUhVmYW5nZW1pbHk2MEBnbWFpbC5jb21YBAAACwo~.

Thank you,
 
Crestron Talent Team

Crestron Electronics Inc
 
This is an automated email response. Please do not reply.
 
 
 
If you no longer wish to receive e-mail from Crestron Electronics Inc, click here: https://tracking.icims.com/f/a/LLr6SZhHHPaRFhsxz6qhCQ~~/AAIB5gA~/RgRjBDaBP0RZaHR0cHM6Ly9jcmVzdHJvbi5pY2ltcy5jb20vaWNpbXMyLz9yPTQ5ODExNjE3NTEmY29udGFjdElkPTg5ODY2MyZwaWQ9MTcmaGFzaGVkPTExMTE2NzQ2MzJXA3NwY0IKYR-BsSFhsn3p51IVZmFuZ2VtaWx5NjBAZ21haWwuY29tWAQAAAsK.


**************************************************
This message was sent to fangemily60@gmail.com. If you don't want to receive these emails from this company in the future, please go to:
https://tracking.icims.com/f/a/MOx5zWlvr686wAMZcPBQWQ~~/AAIB5gA~/RgRjBDaBP0RHaHR0cHM6Ly9jcmVzdHJvbi5pY2ltcy5jb20vaWNpbXMyLz9yPTQ5ODExNjE3NTEmY29udGFjdElkPTg5ODY2MyZwaWQ9MTdXA3NwY0IKYR-BsSFhsn3p51IVZmFuZ2VtaWx5NjBAZ21haWwuY29tWAQAAAsK 
/n &#169; Crestron Electronics Inc; 7 Volvo Drive; Rockleigh, NJ 07647; USA/n

"
jobs,Confirm Your Identity,"
Dear , 

Thank you for considering a career with us! We need help confirming your identity. When prompted, please use the following verification code: 417464. 

This code will expire in 10 minutes. If your code expires, request a new code on the verification web page. 

We look forward to learning more about you! 

Sincerely,
JPMorgan Chase Recruiting

See how far your thinking can go. jpmorganchase.com/careers

©2021 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
jobs,Thank you for your submission,"
Dear Emily,  
 

Thank you for your interest in Software Engineering position. We're always looking for top talent and we're glad that you're considering us for your next role. If our team feels your skills and experience are a good fit for this opportunity, we'll reach out.  
 

And remember, you can always log back into your profile from the careers site homepage to view your status and if needed, withdraw your application. 
 

We also invite you to visit our careers site to find and apply for other positions that match your skills and interests.   
 

We appreciate your interest in working with us!  
 

Sincerely,    
  
JPMorgan Chase Recruiting  

See how far your thinking can go. jpmorganchase.com/careers

©2021 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
jobs,Thank you for applying to Hudson River Trading,"Hi Emily,

Thank you for your interest in Hudson River Trading. Your application has been received and we will review it right away. If your application seems like a good fit for the position we will contact you soon.

Please do not apply to more than one role. If we think your application is a good fit for more than one position, we will let you know.

Regards,
Hudson River Trading

** Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read.
"
jobs,Thank you for your submission,"
Dear Emily,  
 

Thank you for your interest in 2022 Software Engineer Program - Summer Internship Opportunity position. We're always looking for top talent and we're glad that you're considering us for your next role. If our team feels your skills and experience are a good fit for this opportunity, we'll reach out.  
 

And remember, you can always log back into your profile from the careers site homepage to view your status and if needed, withdraw your application. 
 

We also invite you to visit our careers site to find and apply for other positions that match your skills and interests.   
 

We appreciate your interest in working with us!  
 

Sincerely,    
  
JPMorgan Chase Recruiting  

See how far your thinking can go. jpmorganchase.com/careers

©2021 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
jobs,Confirm Your Options,"
Dear Emily,

We are looking forward to keeping you updated on your job alert preferences, but we need your permission to contact you first. Please review our policy and your new selection below, then click Confirm Your Options. 

You agree that careers site may collect, use and disclose your personal data which you have provided on our career site. In doing so, you agree to receive job alerts and recruiting marketing materials customized to you based on the selections you made, in accordance with our data protection policy available here. 

Click the link below to confirm that you agree to receive:

Marketing Communications
Confirm your options 

Sincerely,

JPMorgan Chase Recruiting

See how far your thinking can go. jpmorganchase.com/careers

©2021 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
